x,actlevel,week,season
Week:29  Year:2012-13,0.942307692,29,201213
Week:30  Year:2012-13,0.942307692,30,201213
Week:31  Year:2012-13,0.942307692,31,201213
Week:32  Year:2012-13,0.942307692,32,201213
Week:33  Year:2012-13,0.884615385,33,201213
Week:34  Year:2012-13,0.884615385,34,201213
Week:35  Year:2012-13,0.882352941,35,201213
Week:36  Year:2012-13,0.961538462,36,201213
Week:37  Year:2012-13,0.961538462,37,201213
Week:38  Year:2012-13,0.942307692,38,201213
Week:39  Year:2012-13,1.134615385,39,201213
Week:40  Year:2012-13,1.038461538,40,201213
Week:41  Year:2012-13,1.096153846,41,201213
Week:42  Year:2012-13,1.076923077,42,201213
Week:43  Year:2012-13,1.115384615,43,201213
Week:44  Year:2012-13,1.25,44,201213
Week:45  Year:2012-13,1.480769231,45,201213
Week:46  Year:2012-13,1.730769231,46,201213
Week:47  Year:2012-13,2.576923077,47,201213
Week:48  Year:2012-13,2.461538462,48,201213
Week:49  Year:2012-13,3.403846154,49,201213
Week:50  Year:2012-13,4.557692308,50,201213
Week:51  Year:2012-13,6.019230769,51,201213
Week:52  Year:2012-13,8.134615385,52,201213
Week:1  Year:2013-14,6.075471698,1,201314
Week:2  Year:2013-14,5.433962264,2,201314
Week:3  Year:2013-14,5.188679245,3,201314
Week:4  Year:2013-14,5.301886792,4,201314
Week:5  Year:2013-14,4.735849057,5,201314
Week:6  Year:2013-14,4.075471698,6,201314
Week:7  Year:2013-14,3.188679245,7,201314
Week:8  Year:2013-14,2.641509434,8,201314
Week:9  Year:2013-14,2.094339623,9,201314
Week:10  Year:2013-14,2.018867925,10,201314
Week:11  Year:2013-14,1.679245283,11,201314
Week:12  Year:2013-14,1.716981132,12,201314
Week:13  Year:2013-14,1.679245283,13,201314
Week:14  Year:2013-14,1.79245283,14,201314
Week:15  Year:2013-14,1.679245283,15,201314
Week:16  Year:2013-14,1.528301887,16,201314
Week:17  Year:2013-14,1.377358491,17,201314
Week:18  Year:2013-14,1.226415094,18,201314
Week:19  Year:2013-14,1.245283019,19,201314
Week:20  Year:2013-14,1.113207547,20,201314
Week:21  Year:2013-14,1.113207547,21,201314
Week:22  Year:2013-14,1.056603774,22,201314
Week:23  Year:2013-14,1.037735849,23,201314
Week:24  Year:2013-14,1,24,201314
Week:25  Year:2013-14,0.980769231,25,201314
Week:26  Year:2013-14,0.981132075,26,201314
Week:27  Year:2013-14,0.980769231,27,201314
Week:28  Year:2013-14,0.905660377,28,201314
Week:29  Year:2013-14,0.943396226,29,201314
Week:30  Year:2013-14,0.905660377,30,201314
Week:31  Year:2013-14,0.962264151,31,201314
Week:32  Year:2013-14,1.037735849,32,201314
Week:33  Year:2013-14,0.981132075,33,201314
Week:34  Year:2013-14,1.037735849,34,201314
Week:35  Year:2013-14,1.075471698,35,201314
Week:36  Year:2013-14,1.132075472,36,201314
Week:37  Year:2013-14,1.150943396,37,201314
Week:38  Year:2013-14,1.169811321,38,201314
Week:39  Year:2013-14,1.075471698,39,201314
Week:40  Year:2013-14,1.113207547,40,201314
Week:41  Year:2013-14,1.169811321,41,201314
Week:42  Year:2013-14,1.226415094,42,201314
Week:43  Year:2013-14,1.452830189,43,201314
Week:44  Year:2013-14,1.433962264,44,201314
Week:45  Year:2013-14,1.641509434,45,201314
Week:46  Year:2013-14,1.679245283,46,201314
Week:47  Year:2013-14,1.735849057,47,201314
Week:48  Year:2013-14,2.094339623,48,201314
Week:49  Year:2013-14,2.433962264,49,201314
Week:50  Year:2013-14,2.547169811,50,201314
Week:51  Year:2013-14,3.79245283,51,201314
Week:52  Year:2013-14,6.153846154,52,201314
Week:1  Year:2014-15,6.509433962,1,201415
